,Date,StockCode,Quantity,UnitPrice,DayOfWeek,Month,Country,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,pad,prediction,QuantityDiff
512,2010-12-11,22197,0,0.85,5,12,Norway,0.0,-72.0,72.0,0.0,0.0,0.0,0.0,1,6.0623853677460895,0.0
514,2010-12-11,22197,0,0.85,5,12,Germany,0.0,0.0,0.0,0.0,-24.0,24.0,0.0,1,-0.10842294565921778,0.0
522,2010-12-11,85099B,0,1.95,5,12,Germany,0.0,0.0,0.0,0.0,-10.0,10.0,-30.0,1,-0.10842294565921778,0.0
525,2010-12-11,22197,0,1.1199999999999999,5,12,United Kingdom,-117.0,72.0,11.0,-135.0,207.0,57.0,-67.0,1,9.204076155040626,-95.0
527,2010-12-11,22197,0,0.85,5,12,EIRE,-36.0,36.0,0.0,0.0,0.0,0.0,0.0,1,9.204076155040626,0.0
539,2010-12-12,22197,0,0.85,6,12,Germany,0.0,0.0,0.0,0.0,0.0,-24.0,24.0,1,14.142303734681445,0.0
542,2010-12-12,22197,49,0.85,6,12,United Kingdom,-95.0,-117.0,72.0,11.0,-135.0,207.0,57.0,1,70.99208900610863,49.0
548,2010-12-12,84077,96,0.29,6,12,United Kingdom,-67.0,15.0,-188.0,190.0,42.0,-88.0,96.0,1,35.99281584892602,96.0
551,2010-12-12,22197,0,0.85,6,12,Norway,0.0,0.0,-72.0,72.0,0.0,0.0,0.0,1,1.008905234488153,0.0
554,2010-12-12,85099B,0,1.95,6,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
567,2010-12-12,22197,0,0.85,6,12,France,0.0,-12.0,12.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
569,2010-12-12,85099B,1,1.95,6,12,United Kingdom,-103.0,85.0,-187.0,-137.0,185.0,128.0,29.0,1,24.886067941837513,1.0
575,2010-12-12,22197,0,0.85,6,12,EIRE,0.0,-36.0,36.0,0.0,0.0,0.0,0.0,1,7.179713547893461,0.0
579,2010-12-12,85099B,0,1.95,6,12,Germany,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,1,8.792332449339652,0.0
587,2010-12-12,85099B,0,1.95,6,12,Portugal,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
590,2010-12-13,22197,0,0.85,0,12,France,0.0,0.0,-12.0,12.0,0.0,0.0,0.0,1,1.008905234488153,0.0
592,2010-12-13,22197,0,0.85,0,12,Norway,0.0,0.0,0.0,-72.0,72.0,0.0,0.0,1,1.008905234488153,0.0
601,2010-12-13,85099B,0,1.95,0,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1,1.008905234488153,0.0
608,2010-12-13,84077,194,0.325,0,12,United Kingdom,96.0,-67.0,15.0,-188.0,190.0,42.0,-88.0,1,-0.6947486942300204,98.0
610,2010-12-13,22197,0,0.85,0,12,EIRE,0.0,0.0,-36.0,36.0,0.0,0.0,0.0,1,1.008905234488153,0.0
617,2010-12-13,22197,0,0.85,0,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,1,1.008905234488153,0.0
618,2010-12-13,85099B,28,2.8539999999999996,0,12,United Kingdom,1.0,-103.0,85.0,-187.0,-137.0,185.0,128.0,1,61.67958990540879,27.0
619,2010-12-13,85099B,0,1.95,0,12,Portugal,0.0,-10.0,10.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
623,2010-12-13,22197,45,1.174,0,12,United Kingdom,49.0,-95.0,-117.0,72.0,11.0,-135.0,207.0,1,20.23702983900221,-4.0
630,2010-12-13,84077,48,0.29,0,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,48.0
632,2010-12-13,85099B,0,1.95,0,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
639,2010-12-14,85099B,0,1.95,1,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
641,2010-12-14,85099B,0,1.95,1,12,Portugal,0.0,0.0,-10.0,10.0,0.0,0.0,0.0,1,1.008905234488153,0.0
644,2010-12-14,22197,282,1.067,1,12,United Kingdom,-4.0,49.0,-95.0,-117.0,72.0,11.0,-135.0,1,1.008905234488153,237.0
648,2010-12-14,84077,144,0.29,1,12,United Kingdom,98.0,96.0,-67.0,15.0,-188.0,190.0,42.0,1,41.09994959843792,-50.0
652,2010-12-14,22197,0,0.85,1,12,France,0.0,0.0,0.0,-12.0,12.0,0.0,0.0,1,1.008905234488153,0.0
658,2010-12-14,22197,0,0.85,1,12,EIRE,0.0,0.0,0.0,-36.0,36.0,0.0,0.0,1,1.008905234488153,0.0
668,2010-12-14,22197,0,0.85,1,12,Norway,0.0,0.0,0.0,0.0,-72.0,72.0,0.0,1,29.837370078265447,0.0
672,2010-12-14,85099B,63,2.4522222222222223,1,12,United Kingdom,27.0,1.0,-103.0,85.0,-187.0,-137.0,185.0,1,55.5087815920035,35.0
677,2010-12-14,84077,0,0.29,1,12,Spain,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-5.434381674735786,-48.0
678,2010-12-14,85099B,0,1.95,1,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
684,2010-12-14,22197,0,0.85,1,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
689,2010-12-15,22197,0,0.85,2,12,France,0.0,0.0,0.0,0.0,-12.0,12.0,0.0,1,1.008905234488153,0.0
690,2010-12-15,22197,0,0.85,2,12,EIRE,0.0,0.0,0.0,0.0,-36.0,36.0,0.0,1,8.336694871391861,0.0
692,2010-12-15,84077,0,0.29,2,12,United Kingdom,-50.0,98.0,96.0,-67.0,15.0,-188.0,190.0,1,42.16362416233133,-144.0
694,2010-12-15,22197,0,0.85,2,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
695,2010-12-15,22197,0,0.85,2,12,Norway,0.0,0.0,0.0,0.0,0.0,-72.0,72.0,1,26.680316748226144,0.0
700,2010-12-15,85099B,0,1.95,2,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
708,2010-12-15,85099B,0,1.95,2,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
710,2010-12-15,85099B,80,1.95,2,12,United Kingdom,35.0,27.0,1.0,-103.0,85.0,-187.0,-137.0,1,1.008905234488153,17.0
711,2010-12-15,84077,0,0.29,2,12,Spain,-48.0,48.0,0.0,0.0,0.0,0.0,0.0,1,10.321404335187998,0.0
726,2010-12-15,22197,355,0.798,2,12,United Kingdom,237.0,-4.0,49.0,-95.0,-117.0,72.0,11.0,1,-80.88501799279771,73.0
731,2010-12-15,85099B,0,1.95,2,12,Portugal,0.0,0.0,0.0,-10.0,10.0,0.0,0.0,1,1.008905234488153,0.0
740,2010-12-16,22197,0,0.85,3,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,1,1.008905234488153,0.0
741,2010-12-16,85099B,0,1.95,3,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
744,2010-12-16,22197,19,0.85,3,12,United Kingdom,73.0,237.0,-4.0,49.0,-95.0,-117.0,72.0,1,49.06549468277958,-336.0
751,2010-12-16,22197,0,0.85,3,12,EIRE,0.0,0.0,0.0,0.0,0.0,-36.0,36.0,1,26.680316748226144,0.0
752,2010-12-16,22197,0,0.85,3,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
755,2010-12-16,85099B,0,1.95,3,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
756,2010-12-16,85099B,0,1.95,3,12,Portugal,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,1,1.008905234488153,0.0
759,2010-12-16,84077,51,0.29,3,12,United Kingdom,-144.0,-50.0,98.0,96.0,-67.0,15.0,-188.0,1,45.320677492370585,51.0
760,2010-12-16,22197,0,0.85,3,12,France,0.0,0.0,0.0,0.0,0.0,-12.0,12.0,1,8.792332449339652,0.0
765,2010-12-16,84077,0,0.29,3,12,Spain,0.0,-48.0,48.0,0.0,0.0,0.0,0.0,1,7.179713547893461,0.0
772,2010-12-16,85099B,210,1.9124999999999996,3,12,United Kingdom,17.0,35.0,27.0,1.0,-103.0,85.0,-187.0,1,36.00817839167074,130.0
784,2010-12-17,84077,0,0.29,4,12,Spain,0.0,0.0,-48.0,48.0,0.0,0.0,0.0,1,1.008905234488153,0.0
790,2010-12-17,85099B,10,1.95,4,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,10.0
798,2010-12-17,85099B,25,3.833333333333334,4,12,United Kingdom,130.0,17.0,35.0,27.0,1.0,-103.0,85.0,1,18.44229306806583,-185.0
802,2010-12-17,85099B,0,1.95,4,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
807,2010-12-17,85099B,0,1.95,4,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
808,2010-12-17,85099B,0,1.95,4,12,Portugal,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,1,8.792332449339652,0.0
811,2010-12-17,22197,0,0.85,4,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
812,2010-12-17,84077,576,0.29,4,12,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,576.0
815,2010-12-17,22197,0,0.85,4,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
818,2010-12-17,22197,0,0.85,4,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,1,1.008905234488153,0.0
822,2010-12-17,85099B,10,1.95,4,12,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,10.0
825,2010-12-17,22197,0,0.85,4,12,France,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,1,1.008905234488153,0.0
830,2010-12-17,22197,272,1.41,4,12,United Kingdom,-336.0,73.0,237.0,-4.0,49.0,-95.0,-117.0,1,16.49221264859331,253.0
831,2010-12-17,84077,61,0.3833333333333333,4,12,United Kingdom,51.0,-144.0,-50.0,98.0,96.0,-67.0,15.0,1,37.665536392753175,10.0
838,2010-12-18,85099B,0,1.95,5,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
843,2010-12-18,84077,0,0.29,5,12,Spain,0.0,0.0,0.0,-48.0,48.0,0.0,0.0,1,-0.10842294565921778,0.0
846,2010-12-18,22197,0,0.85,5,12,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
850,2010-12-18,22197,0,0.85,5,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
852,2010-12-18,84077,0,0.3833333333333333,5,12,United Kingdom,10.0,51.0,-144.0,-50.0,98.0,96.0,-67.0,1,-0.10842294565921778,-61.0
853,2010-12-18,85099B,0,1.95,5,12,Spain,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,-10.0
860,2010-12-18,85099B,0,1.95,5,12,Australia,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,-10.0
861,2010-12-18,85099B,0,1.95,5,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
862,2010-12-18,85099B,0,1.95,5,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1,-0.10842294565921778,0.0
866,2010-12-18,22197,0,1.41,5,12,United Kingdom,253.0,-336.0,73.0,237.0,-4.0,49.0,-95.0,1,-88.64771866427822,-272.0
867,2010-12-18,84077,0,0.29,5,12,Sweden,576.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-465.5072045410257,-576.0
868,2010-12-18,22197,0,0.85,5,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
870,2010-12-18,85099B,0,3.833333333333334,5,12,United Kingdom,-185.0,130.0,17.0,35.0,27.0,1.0,-103.0,1,13.943709135546397,-25.0
879,2010-12-18,22197,0,0.85,5,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
884,2010-12-19,85099B,0,1.95,6,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
888,2010-12-19,84077,99,0.29,6,12,United Kingdom,-61.0,10.0,51.0,-144.0,-50.0,98.0,96.0,1,70.99208900610863,99.0
898,2010-12-19,85099B,1,1.95,6,12,United Kingdom,-25.0,-185.0,130.0,17.0,35.0,27.0,1.0,1,45.202002256160085,1.0
899,2010-12-19,84077,0,0.29,6,12,Spain,0.0,0.0,0.0,0.0,-48.0,48.0,0.0,1,29.837370078265447,0.0
902,2010-12-19,85099B,0,1.95,6,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
908,2010-12-19,22197,0,0.85,6,12,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
914,2010-12-19,85099B,0,1.95,6,12,Spain,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
916,2010-12-19,22197,8,0.85,6,12,United Kingdom,-272.0,253.0,-336.0,73.0,237.0,-4.0,49.0,1,35.99281584892602,8.0
921,2010-12-19,85099B,0,1.95,6,12,Australia,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
922,2010-12-19,84077,0,0.29,6,12,Sweden,-576.0,576.0,0.0,0.0,0.0,0.0,0.0,1,10.321404335187998,0.0
925,2010-12-19,85099B,0,1.95,6,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
927,2010-12-19,22197,0,0.85,6,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
928,2010-12-19,22197,0,0.85,6,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
929,2010-12-19,22197,0,0.85,6,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
933,2010-12-20,85099B,0,1.95,0,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
942,2010-12-20,85099B,0,1.95,0,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
943,2010-12-20,84077,0,0.29,0,12,Spain,0.0,0.0,0.0,0.0,0.0,-48.0,48.0,1,26.680316748226144,0.0
944,2010-12-20,85099B,47,2.854,0,12,United Kingdom,1.0,-25.0,-185.0,130.0,17.0,35.0,27.0,1,15.573568841137686,46.0
947,2010-12-20,84077,0,0.29,0,12,Sweden,0.0,-576.0,576.0,0.0,0.0,0.0,0.0,1,37.14623311518911,0.0
958,2010-12-20,22197,0,0.85,0,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
962,2010-12-20,22197,-2,0.85,0,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-2.0
963,2010-12-20,22197,0,0.85,0,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
966,2010-12-20,85099B,0,1.95,0,12,Australia,0.0,-10.0,10.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
968,2010-12-20,22197,145,1.284,0,12,United Kingdom,8.0,-272.0,253.0,-336.0,73.0,237.0,-4.0,1,37.14623311518911,137.0
969,2010-12-20,84077,52,0.36,0,12,United Kingdom,99.0,-61.0,10.0,51.0,-144.0,-50.0,98.0,1,41.09994959843792,-47.0
970,2010-12-20,85099B,0,1.95,0,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
973,2010-12-20,22197,24,0.85,0,12,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,24.0
976,2010-12-20,85099B,0,1.95,0,12,Spain,0.0,-10.0,10.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
982,2010-12-21,85099B,0,1.95,1,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
985,2010-12-21,84077,48,0.29,1,12,United Kingdom,-47.0,99.0,-61.0,10.0,51.0,-144.0,-50.0,1,10.321404335187998,-4.0
987,2010-12-21,85099B,112,3.6980000000000004,1,12,United Kingdom,46.0,1.0,-25.0,-185.0,130.0,17.0,35.0,1,20.23702983900221,65.0
989,2010-12-21,85099B,10,1.95,1,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,10.0
990,2010-12-21,84077,0,0.29,1,12,Sweden,0.0,0.0,-576.0,576.0,0.0,0.0,0.0,1,1.008905234488153,0.0
997,2010-12-21,22197,51,1.6599999999999997,1,12,United Kingdom,137.0,8.0,-272.0,253.0,-336.0,73.0,237.0,1,47.937823749087755,-94.0
1002,2010-12-21,85099B,0,1.95,1,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1005,2010-12-21,22197,0,0.85,1,12,France,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-24.0
1009,2010-12-21,85099B,0,1.95,1,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1011,2010-12-21,22197,0,0.85,1,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1014,2010-12-21,84077,0,0.29,1,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,1,1.008905234488153,0.0
1017,2010-12-21,22197,0,0.85,1,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1023,2010-12-21,22197,24,0.85,1,12,EIRE,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,26.0
1024,2010-12-21,85099B,0,1.95,1,12,Australia,0.0,0.0,-10.0,10.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1025,2010-12-21,85099B,0,1.95,1,12,Spain,0.0,0.0,-10.0,10.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1029,2010-12-22,22197,0,0.85,2,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1030,2010-12-22,85099B,0,1.95,2,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1034,2010-12-22,85099B,0,1.95,2,12,EIRE,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-10.0
1036,2010-12-22,85099B,0,1.95,2,12,Spain,0.0,0.0,0.0,-10.0,10.0,0.0,0.0,1,1.008905234488153,0.0
1038,2010-12-22,22197,0,1.6599999999999997,2,12,United Kingdom,-94.0,137.0,8.0,-272.0,253.0,-336.0,73.0,1,75.57604117041579,-51.0
1040,2010-12-22,85099B,0,1.95,2,12,Australia,0.0,0.0,0.0,-10.0,10.0,0.0,0.0,1,1.008905234488153,0.0
1043,2010-12-22,22197,0,0.85,2,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1044,2010-12-22,84077,0,0.29,2,12,Sweden,0.0,0.0,0.0,-576.0,576.0,0.0,0.0,1,1.008905234488153,0.0
1047,2010-12-22,85099B,0,1.95,2,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1053,2010-12-22,84077,0,0.29,2,12,United Kingdom,-4.0,-47.0,99.0,-61.0,10.0,51.0,-144.0,1,7.179713547893461,-48.0
1057,2010-12-22,85099B,1,0.0,2,12,United Kingdom,65.0,46.0,1.0,-25.0,-185.0,130.0,17.0,1,49.954196716742906,-111.0
1059,2010-12-22,84077,0,0.29,2,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1065,2010-12-22,22197,0,0.85,2,12,France,-24.0,24.0,0.0,0.0,0.0,0.0,0.0,1,9.064674375459125,0.0
1069,2010-12-22,85099B,0,1.95,2,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1076,2010-12-22,22197,0,0.85,2,12,EIRE,26.0,-2.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-24.0
1080,2010-12-23,22197,8,1.255,3,12,United Kingdom,-51.0,-94.0,137.0,8.0,-272.0,253.0,-336.0,1,52.158551643020424,8.0
1084,2010-12-23,84077,0,0.29,3,12,United Kingdom,-48.0,-4.0,-47.0,99.0,-61.0,10.0,51.0,1,64.82128069270335,0.0
1085,2010-12-23,22197,0,0.85,3,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1086,2010-12-23,85099B,0,1.95,3,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1087,2010-12-23,85099B,0,1.95,3,12,Australia,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,1,1.008905234488153,0.0
1093,2010-12-23,85099B,1,2.703333333333333,3,12,United Kingdom,-111.0,65.0,46.0,1.0,-25.0,-185.0,130.0,1,42.16362416233133,0.0
1094,2010-12-23,22197,0,0.85,3,12,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1096,2010-12-23,85099B,0,1.95,3,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1102,2010-12-23,85099B,0,1.95,3,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1112,2010-12-23,84077,0,0.29,3,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1113,2010-12-23,85099B,0,1.95,3,12,EIRE,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1117,2010-12-23,22197,0,0.85,3,12,France,0.0,-24.0,24.0,0.0,0.0,0.0,0.0,1,7.179713547893461,0.0
1119,2010-12-23,84077,0,0.29,3,12,Sweden,0.0,0.0,0.0,0.0,-576.0,576.0,0.0,1,86.94391319601773,0.0
1125,2010-12-23,22197,0,0.85,3,12,EIRE,-24.0,26.0,-2.0,0.0,0.0,0.0,0.0,1,9.064674375459125,0.0
1126,2010-12-23,85099B,0,1.95,3,12,Spain,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,1,1.008905234488153,0.0
1129,2010-12-24,22197,0,0.85,4,12,EIRE,0.0,-24.0,26.0,-2.0,0.0,0.0,0.0,1,7.179713547893461,0.0
1130,2010-12-24,85099B,0,1.95,4,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1134,2010-12-24,85099B,0,2.703333333333333,4,12,United Kingdom,0.0,-111.0,65.0,46.0,1.0,-25.0,-185.0,1,7.179713547893461,-1.0
1139,2010-12-24,84077,0,0.29,4,12,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1145,2010-12-24,22197,0,0.85,4,12,France,0.0,0.0,-24.0,24.0,0.0,0.0,0.0,1,1.008905234488153,0.0
1152,2010-12-24,22197,0,1.255,4,12,United Kingdom,8.0,-51.0,-94.0,137.0,8.0,-272.0,253.0,1,26.680316748226144,-8.0
1153,2010-12-24,85099B,0,1.95,4,12,Spain,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,1,8.792332449339652,0.0
1155,2010-12-24,85099B,0,1.95,4,12,Australia,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,1,8.792332449339652,0.0
1156,2010-12-24,22197,0,0.85,4,12,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,0.0
